_id,fatherId,top,left,width,height,color,vote,text
puTtYtgrkwsbFEnr8,,73,39,200,22,#0066cc,,# Personal email
HBFJydDvLD4MjZSMD,,80,546,200,22,#99ccff,,# Business Email
7tmhCGKatQGidDjoi,,224,41,200,22,#006600,,0 (Zero)
TSTKXEFMg5KwXxN2D,,289,42,200,22,#eeee00,,1-2 (one or two)
Q43jbDdA6tX5gsXXL,,354,44,200,22,#ff9900,,3-5 (up to five)
c65cqym67quLC6yBT,,419,45,200,22,#990000,,\>5 (more than five)
5knFbb8ju4tSa3LhL,,229,548,200,22,#006600,,0 (Zero)
8rgcZgGytyYNbr64Y,,299,546,200,22,#eeee00,,1-2 (one or two)
BtXAfnuTu4DbpTF9d,,364,544,200,22,#ff9900,,3-5 (up to five)
m8uhk46SjT4FWm7nt,,431,546,200,22,#990000,,\>5 (more than five)
LvwermgaZYaNDC9af,,494,45,200,22,#999999,,I did not check
f682sLE8JNcW4iTox,,500,548,200,22,#999999,,I did not check
